portion_id	portion_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	state	portion_number	weight	is_ffpe
698931c9-5719-4269-b4c2-f1378df2f7fe	TCGA-EW-A6SA-01A-21	aba5f46a-e67a-4cd2-9c52-c0686968ff04	TCGA-EW-A6SA	TCGA-BRCA	5a1bb598-9a38-452a-9599-365501038a88	TCGA-EW-A6SA-01A	live	21	20.0	False
1831ec43-6958-4950-8b0f-dd822fc81f17	TCGA-B6-A0X0-01A-11-A13D-20	1e68e760-a4cf-4100-bf9c-e50fa8d126f6	TCGA-B6-A0X0	TCGA-BRCA	14f380df-eda0-4593-b00f-43abc87e22d4	TCGA-B6-A0X0-01A	live	11	--	False
85bde5e9-3f11-4cd1-ad6b-8befb3c3d6e0	TCGA-B6-A0X0-01A-21	1e68e760-a4cf-4100-bf9c-e50fa8d126f6	TCGA-B6-A0X0	TCGA-BRCA	14f380df-eda0-4593-b00f-43abc87e22d4	TCGA-B6-A0X0-01A	live	21	30.0	False
91123c4b-9958-4298-8600-1a6e7652789c	TCGA-B6-A0X0-10A-01	1e68e760-a4cf-4100-bf9c-e50fa8d126f6	TCGA-B6-A0X0	TCGA-BRCA	329bc903-4958-4f83-a767-27df700c9d00	TCGA-B6-A0X0-10A	live	01	200.0	False
de30c9f6-34f2-4797-a6ee-9be65aa0f189	TCGA-BH-A0DQ-11A-12	a851ca14-7bbf-455b-a054-ec03979a4247	TCGA-BH-A0DQ	TCGA-BRCA	907ca5f2-0442-403f-9ac6-e158e371091e	TCGA-BH-A0DQ-11A	live	12	30.0	False
4aed427e-4ec8-4069-ba22-31028d05c3f6	TCGA-BH-A0DQ-01A-11	a851ca14-7bbf-455b-a054-ec03979a4247	TCGA-BH-A0DQ	TCGA-BRCA	10285a0d-d8cc-4c20-a8a2-8891d9807599	TCGA-BH-A0DQ-01A	live	11	30.0	False
8ceef11b-bd65-487e-831d-03cfe35c4341	TCGA-BH-A0DQ-10A-01	a851ca14-7bbf-455b-a054-ec03979a4247	TCGA-BH-A0DQ	TCGA-BRCA	dc80ab1d-ce3f-4f08-a791-aac7e468c935	TCGA-BH-A0DQ-10A	live	01	200.0	False
a7d96291-f254-469e-8efb-a51d973315fc	TCGA-AQ-A1H3-10A-01	82ec33dd-e783-4c74-9a87-797a699e11df	TCGA-AQ-A1H3	TCGA-BRCA	2e3ce870-dfdb-43b2-adb4-adfd3c9cca15	TCGA-AQ-A1H3-10A	live	01	--	False
ba38e345-7c27-4ab0-a8e9-57b727fec06c	TCGA-AQ-A1H3-01A-41-A17I-20	82ec33dd-e783-4c74-9a87-797a699e11df	TCGA-AQ-A1H3	TCGA-BRCA	09191482-34de-4130-afbe-dd47d481d539	TCGA-AQ-A1H3-01A	live	41	--	False
aaa2684e-7a6e-47fc-9d49-3e7d7093f74d	TCGA-AQ-A1H3-01A-31	82ec33dd-e783-4c74-9a87-797a699e11df	TCGA-AQ-A1H3	TCGA-BRCA	09191482-34de-4130-afbe-dd47d481d539	TCGA-AQ-A1H3-01A	live	31	30.0	False
82490d30-3b6b-4884-b53c-5cf273fd1ed5	TCGA-B6-A0WX-01A-11	a482fc4c-ff1d-46a0-a968-7df06422cc4b	TCGA-B6-A0WX	TCGA-BRCA	7daa9124-2878-4708-ae74-28b17ef4898c	TCGA-B6-A0WX-01A	live	11	30.0	False
